,Season,Name,Nationality,Type,Team,Price
652,2018,Siddarth Kaul,Bowler,"3,80,00,000", Sunrisers Hyderabad,
653,2018,Deepak Hooda,All-Rounder,"3,60,00,000", Sunrisers Hyderabad,
654,2018,Syed Khaleel Ahmed,Bowler,"3,00,00,000", Sunrisers Hyderabad,
655,2018,Sandeep Sharma,Bowler,"3,00,00,000", Sunrisers Hyderabad,
656,2018,Kane Williamson,Batsman,"3,00,00,000", Sunrisers Hyderabad,
657,2018,Carlos Brathwaite,All-Rounder,"2,00,00,000", Sunrisers Hyderabad,
658,2018,Shakib Al Hasan,All-Rounder,"2,00,00,000", Sunrisers Hyderabad,
659,2018,Yusuf Pathan,All-Rounder,"1,90,00,000", Sunrisers Hyderabad,
660,2018,Shreevats Goswami,Wicket Keeper,"1,00,00,000", Sunrisers Hyderabad,
661,2018,Mohammad Nabi,All-Rounder,"1,00,00,000", Sunrisers Hyderabad,
662,2018,Chris Jordan,All-Rounder,"1,00,00,000", Sunrisers Hyderabad,
663,2018,Basil Thampi,Bowler,"95,00,000", Sunrisers Hyderabad,
664,2018,Billy Stanlake,Batsman,"50,00,000", Sunrisers Hyderabad,
665,2018,T Natarajan,Bowler,"40,00,000", Sunrisers Hyderabad,
666,2018,Sachin Baby,Batsman,"20,00,000", Sunrisers Hyderabad,
667,2018,Bipul Sharma,All-Rounder,"20,00,000", Sunrisers Hyderabad,
668,2018,Syed Mehdi Hasan,All-Rounder,"20,00,000", Sunrisers Hyderabad,
669,2018,Ricky Bhui,Batsman,"20,00,000", Sunrisers Hyderabad,
670,2018,Tanmay Agarwal,Batsman,"20,00,000", Sunrisers Hyderabad,
671,2017,Jason Roy,Batsman,"1,00,00,000",Gujarat Lions,
672,2017,Basil Thampi,Bowler,"85,00,000",Gujarat Lions,
673,2017,Manpreet Gony,Bowler,"60,00,000",Gujarat Lions,
674,2017,Nathu Singh,Bowler,"50,00,000",Gujarat Lions,
675,2017,Munaf Patel,Bowler,"30,00,000",Gujarat Lions,
676,2017,Akshdeep Nath,All-Rounder,"10,00,000",Gujarat Lions,
677,2017,Shubam Agrawal,All-Rounder,"10,00,000",Gujarat Lions,
678,2017,Tejas Singh Baroka,Bowler,"10,00,000",Gujarat Lions,
679,2017,Chirag Suri,Batsman,"10,00,000",Gujarat Lions,
680,2017,Pratham Singh,All-Rounder,"10,00,000",Gujarat Lions,
681,2017,Shelley Shaurya,Bowler,"10,00,000",Gujarat Lions,
682,2017,T Natarajan,Bowler,"3,00,00,000",Kings XI Punjab,
683,2017,Varun Aaron,Bowler,"2,80,00,000",Kings XI Punjab,
684,2017,Eoin Morgan,Batsman,"2,00,00,000",Kings XI Punjab,
685,2017,Matt Henry,Bowler,"50,00,000",Kings XI Punjab,
686,2017,Martin Guptill,Batsman,"50,00,000",Kings XI Punjab,
687,2017,Darren Sammy,All-Rounder,"30,00,000",Kings XI Punjab,
688,2017,Rahul Tewatia,All-Rounder,"25,00,000",Kings XI Punjab,
689,2017,Rinku Singh,Batsman,"10,00,000",Kings XI Punjab,
690,2017,Trent Boult,Bowler,"5,00,00,000",Kolkata Knight Riders,
691,2017,Chris Woakes,All-Rounder,"4,20,00,000",Kolkata Knight Riders,
692,2017,Nathan Coulter-Nile,Bowler,"3,50,00,000",Kolkata Knight Riders,
693,2017,Rishi Dhawan,All-Rounder,"55,00,000",Kolkata Knight Riders,
694,2017,Darren Bravo,Batsman,"50,00,000",Kolkata Knight Riders,
695,2017,Rovman Powell,All-Rounder,"30,00,000",Kolkata Knight Riders,
696,2017,Sayan Ghosh,Bowler,"10,00,000",Kolkata Knight Riders,
697,2017,R. Sanjay Yadav,All-Rounder,"10,00,000",Kolkata Knight Riders,
698,2017,Ishank Jaggi,Batsman,"10,00,000",Kolkata Knight Riders,
699,2017,Karn Sharma,All-Rounder,"3,20,00,000",Mumbai Indians,
700,2017,Krishnappa Gowtham,All-Rounder,"2,00,00,000",Mumbai Indians,
701,2017,Mitchell Johnson,Bowler,"2,00,00,000",Mumbai Indians,
702,2017,Asela Gunarathna,Batsman,"30,00,000",Mumbai Indians,
703,2017,Saurabh Tiwary,Batsman,"30,00,000",Mumbai Indians,
704,2017,Nicolas Pooran,Wicket Keeper,"30,00,000",Mumbai Indians,
705,2017,Kulwant Khejroliya,Bowler,"10,00,000",Mumbai Indians,
706,2017,Benjamin Stokes,All-Rounder,"14,50,00,000",Rising Pune Supergiant,
707,2017,Daniel Christian,All-Rounder,"1,00,00,000",Rising Pune Supergiant,
708,2017,Manoj Tiwary,Batsman,"50,00,000",Rising Pune Supergiant,
709,2017,Lockie Ferguson ,Bowler,"50,00,000",Rising Pune Supergiant,
710,2017,Jaydev Unadkat,Bowler,"30,00,000",Rising Pune Supergiant,
711,2017,Rahul Chahar,Bowler,"10,00,000",Rising Pune Supergiant,
712,2017,Saurabh Kumar,Bowler,"10,00,000",Rising Pune Supergiant,
713,2017,Milind Tandon,All-Rounder,"10,00,000",Rising Pune Supergiant,
714,2017,Rahul Ajay Tripathi,All-Rounder,"10,00,000",Rising Pune Supergiant,
715,2017,Tymal Mills,Bowler,"12,00,00,000", Royal Challengers Bangalore,
716,2017,Aniket Choudhary,Bowler,"2,00,00,000", Royal Challengers Bangalore,
717,2017,Pawan Negi,All-Rounder,"1,00,00,000", Royal Challengers Bangalore,
718,2017,Billy Stanlake,Bowler,"30,00,000", Royal Challengers Bangalore,
719,2017,Praveen Dubey,All-Rounder,"10,00,000", Royal Challengers Bangalore,
720,2017,Rashid Khan Arman,Bowler,"4,00,00,000", Sunrisers Hyderabad,
721,2017,Mohammed Siraj,Bowler,"2,60,00,000", Sunrisers Hyderabad,
722,2017,Eklavya Dwivedi,Wicket Keeper,"75,00,000", Sunrisers Hyderabad,
723,2017,Chris Jordan,All-Rounder,"50,00,000", Sunrisers Hyderabad,
724,2017,Mohammad Nabi,All-Rounder,"30,00,000", Sunrisers Hyderabad,
725,2017,Ben Laughlin,Bowler,"30,00,000", Sunrisers Hyderabad,
726,2017,Pravin Tambe,Bowler,"10,00,000", Sunrisers Hyderabad,
727,2017,Tanmay Agarwal,Batsman,"10,00,000", Sunrisers Hyderabad,
728,2016,Praveen Kumar,Bowler,"3,50,00,000",Gujarat Lions,
729,2016,Dale Steyn,Bowler,"2,30,00,000",Gujarat Lions,
730,2016,Dinesh Karthik,Wicket Keeper,"2,30,00,000",Gujarat Lions,
731,2016,Dwayne Smith,All-Rounder,"2,30,00,000",Gujarat Lions,
732,2016,Dhawal Kulkarni,Bowler,"2,00,00,000",Gujarat Lions,
733,2016,Aaron Finch,Batsman,"1,00,00,000",Gujarat Lions,
734,2016,Eklavya Dwivedi,Wicket Keeper,"1,00,00,000",Gujarat Lions,
735,2016,Andrew Tye,All-Rounder,"50,00,000",Gujarat Lions,
736,2016,Ishan Kishan,Wicket Keeper,"35,00,000",Gujarat Lions,
737,2016,Jaydev Shah,All-Rounder,"20,00,000",Gujarat Lions,
738,2016,Shadab Jakati,All-Rounder,"20,00,000",Gujarat Lions,
739,2016,Pravin Tambe,Bowler,"20,00,000",Gujarat Lions,
740,2016,Pradeep Sangwan,All-Rounder,"20,00,000",Gujarat Lions,
741,2016,Amit Mishra,Bowler,"10,00,000",Gujarat Lions,
742,2016,Shivil Kaushik,Bowler,"10,00,000",Gujarat Lions,
743,2016,Akshdeep Nath,All-Rounder,"10,00,000",Gujarat Lions,
744,2016,Sarabjit Ladda,Bowler,"10,00,000",Gujarat Lions,
745,2016,Umang Sharma,Batsman,"10,00,000",Gujarat Lions,
746,2016,Paras Dogra,Batsman,"10,00,000",Gujarat Lions,
747,2016,Mohit Sharma,Bowler,"6,50,00,000",Kings XI Punjab,
748,2016,Kyle Abbott,Bowler,"2,10,00,000",Kings XI Punjab,
749,2016,K.C. Cariappa,Bowler,"80,00,000",Kings XI Punjab,
750,2016,Marcus Stoinis,All-Rounder,"55,00,000",Kings XI Punjab,
751,2016,Farhaan Behardien,All-Rounder,"30,00,000",Kings XI Punjab,
752,2016,Pardeep Sahu,All-Rounder,"10,00,000",Kings XI Punjab,
753,2016,Armaan Jaffer,Batsman,"10,00,000",Kings XI Punjab,
754,2016,Swapnil Singh,All-Rounder,"10,00,000",Kings XI Punjab,
755,2016,Jaydev Unadkat,Bowler,"1,60,00,000",Kolkata Knight Riders,
756,2016,Ankit Singh Rajpoot,Bowler,"1,50,00,000",Kolkata Knight Riders,
757,2016,John Hastings,Bowler,"1,30,00,000",Kolkata Knight Riders,
758,2016,Jason Holder,All-Rounder,"70,00,000",Kolkata Knight Riders,
759,2016,Colin Munro,All-Rounder,"30,00,000",Kolkata Knight Riders,
760,2016,Rajagopal Sathish,All-Rounder,"20,00,000",Kolkata Knight Riders,
761,2016,Manan Ajay Sharma,All-Rounder,"10,00,000",Kolkata Knight Riders,
762,2016,Jos Buttler,Wicket Keeper,"3,80,00,000",Mumbai Indians,
763,2016,Nathu Singh,Bowler,"3,20,00,000",Mumbai Indians,
764,2016,Tim Southee,Bowler,"2,50,00,000",Mumbai Indians,
765,2016,Krunal Pandya,All-Rounder,"2,00,00,000",Mumbai Indians,
766,2016,Kishore Pramod Kamath,All-Rounder,"1,40,00,000",Mumbai Indians,
767,2016,Deepak Punia,All-Rounder,"10,00,000",Mumbai Indians,
768,2016,Jitesh Sharma,Wicket Keeper,"10,00,000",Mumbai Indians,
769,2016,Mitchell Marsh,All-Rounder,"4,80,00,000",Rising Pune Supergiant,
770,2016,M. Ashwin,Bowler,"4,50,00,000",Rising Pune Supergiant,
771,2016,Ishant Sharma,Bowler,"3,80,00,000",Rising Pune Supergiant,
772,2016,Kevin Pietersen,Batsman,"3,50,00,000",Rising Pune Supergiant,
773,2016,Irfan Pathan,All-Rounder,"1,00,00,000",Rising Pune Supergiant,
774,2016,Thisara Perera,All-Rounder,"1,00,00,000",Rising Pune Supergiant,
775,2016,Rajat Bhatia,All-Rounder,"60,00,000",Rising Pune Supergiant,
776,2016,Ashok Dinda,Bowler,"50,00,000",Rising Pune Supergiant,
777,2016,Scott Boland,Bowler,"50,00,000",Rising Pune Supergiant,
778,2016,Peter Handscomb,Wicket Keeper,"30,00,000",Rising Pune Supergiant,
779,2016,Rudra Pratap Singh,Bowler,"30,00,000",Rising Pune Supergiant,
780,2016,Adam Zampa,Bowler,"30,00,000",Rising Pune Supergiant,
781,2016,Ishwar Chandra Pandey,Bowler,"20,00,000",Rising Pune Supergiant,
782,2016,Deepak Chahar,All-Rounder,"10,00,000",Rising Pune Supergiant,
783,2016,Jaskaran Singh,Bowler,"10,00,000",Rising Pune Supergiant,
784,2016,Baba Aparajith,All-Rounder,"10,00,000",Rising Pune Supergiant,
785,2016,Ankush Bains,Wicket Keeper,"10,00,000",Rising Pune Supergiant,
786,2016,Ankit Sharma,All-Rounder,"10,00,000",Rising Pune Supergiant,
787,2016,Shane Watson,All-Rounder,"9,50,00,000", Royal Challengers Bangalore,
788,2016,Stuart Binny,All-Rounder,"2,00,00,000", Royal Challengers Bangalore,
789,2016,Kane Richardson,Bowler,"2,00,00,000", Royal Challengers Bangalore,
790,2016,Samuel Badree,Bowler,"50,00,000", Royal Challengers Bangalore,
791,2016,Travis Head,Batsman,"50,00,000", Royal Challengers Bangalore,
792,2016,Praveen Dubey,All-Rounder,"35,00,000", Royal Challengers Bangalore,
793,2016,Vikramjeet Malik,Bowler,"20,00,000", Royal Challengers Bangalore,
794,2016,Akshay Karnewar,All-Rounder,"10,00,000", Royal Challengers Bangalore,
795,2016,Iqbal Abdullah,All-Rounder,"10,00,000", Royal Challengers Bangalore,
796,2016,Sachin Baby,Batsman,"10,00,000", Royal Challengers Bangalore,
797,2016,Vikas Tokas,Bowler,"10,00,000", Royal Challengers Bangalore,
798,2016,Yuvraj Singh,All-Rounder,"7,00,00,000", Sunrisers Hyderabad,
799,2016,Ashish Nehra,Bowler,"5,50,00,000", Sunrisers Hyderabad,
800,2016,Deepak Hooda,All-Rounder,"4,20,00,000", Sunrisers Hyderabad,
801,2016,Mustafizur Rahman,Bowler,"1,40,00,000", Sunrisers Hyderabad,
802,2016,Aditya Tare,Wicket Keeper,"1,20,00,000", Sunrisers Hyderabad,
803,2016,Barinder Singh Sran,Bowler,"1,20,00,000", Sunrisers Hyderabad,
804,2016,Ben Cutting,All-Rounder,"50,00,000", Sunrisers Hyderabad,
805,2016,Vijay Shankar,All-Rounder,"35,00,000", Sunrisers Hyderabad,
806,2016,Abhimanyu Mithun,Bowler,"30,00,000", Sunrisers Hyderabad,
807,2016,Tirumalasetti Suman,Batsman,"10,00,000", Sunrisers Hyderabad,
808,2015,Yuvraj Singh,Batsman,"16,00,00,000",Delhi Daredevils,
809,2015,Angelo Mathews,All-Rounder,"7,50,00,000",Delhi Daredevils,
810,2015,Zaheer Khan,Bowler,"4,00,00,000",Delhi Daredevils,
811,2015,Amit Mishra,Bowler,"3,50,00,000",Delhi Daredevils,
812,2015,Shreyas Iyer,Batsman,"2,60,00,000",Delhi Daredevils,
813,2015,Gurinder Sandhu,Bowler,"1,70,00,000",Delhi Daredevils,
814,2015,Jaydev Unadkat,Bowler,"1,10,00,000",Delhi Daredevils,
815,2015,Domnic Joseph Muthuswamy,Bowler,"75,00,000",Delhi Daredevils,
816,2015,Albie Morkel,All-Rounder,"30,00,000",Delhi Daredevils,
817,2015,Travis Head,Batsman,"30,00,000",Delhi Daredevils,
818,2015,Marcus Stoinis,All-Rounder,"25,00,000",Delhi Daredevils,
819,2015,C.M. Gautam,Wicket Keeper,"20,00,000",Delhi Daredevils,
820,2015,Kona Srikar Bharat,Wicket Keeper,"10,00,000",Delhi Daredevils,
821,2015,K.K. Jiyaz,Bowler,"10,00,000",Delhi Daredevils,
822,2015,Murali Vijay,Batsman,"3,00,00,000",Kings XI Punjab,
823,2015,Nikhil Shankar Naik,Wicket Keeper,"30,00,000",Kings XI Punjab,
824,2015,Yogesh Gowalkar,All-Rounder,"10,00,000",Kings XI Punjab,
825,2015,K.C. Cariappa,Bowler,"2,40,00,000",Kolkata Knight Riders,
826,2015,James Neesham,All-Rounder,"50,00,000",Kolkata Knight Riders,
827,2015,Brad Hogg,Bowler,"50,00,000",Kolkata Knight Riders,
828,2015,Aditya Garhwal,All-Rounder,"25,00,000",Kolkata Knight Riders,
829,2015,Sheldon Jackson,Batsman,"15,00,000",Kolkata Knight Riders,
830,2015,Sumit Narwal,All-Rounder,"10,00,000",Kolkata Knight Riders,
831,2015,Vaibhav Rawal,All-Rounder,"10,00,000",Kolkata Knight Riders,
832,2015,Aaron Finch,Batsman,"3,20,00,000",Mumbai Indians,
833,2015,Pragyan Ojha,Bowler,"50,00,000",Mumbai Indians,
834,2015,Abhimanyu Mithun,Bowler,"30,00,000",Mumbai Indians,
835,2015,Mitchell McClenaghan,Bowler,"30,00,000",Mumbai Indians,
836,2015,Aiden Blizzard,Batsman,"30,00,000",Mumbai Indians,
837,2015,Hardik Pandya,All-Rounder,"10,00,000",Mumbai Indians,
838,2015,Akshay Wakhare,Bowler,"10,00,000",Mumbai Indians,
839,2015,Nitish Rana,All-Rounder,"10,00,000",Mumbai Indians,
840,2015,Siddhesh Dinesh Lad,All-Rounder,"10,00,000",Mumbai Indians,
841,2015,J. Suchitch,All-Rounder,"10,00,000",Mumbai Indians,
842,2015,Christopher Morris,All-Rounder,"1,40,00,000",Rajasthan Royals,
843,2015,Juan Theron,Bowler,"30,00,000",Rajasthan Royals,
844,2015,Barinder Singh Saran,Bowler,"10,00,000",Rajasthan Royals,
845,2015,Dinesh Salunkhe,All-Rounder,"10,00,000",Rajasthan Royals,
846,2015,Sagar Trivedi,All-Rounder,"10,00,000",Rajasthan Royals,
847,2015,Pardeep Sahu,All-Rounder,"10,00,000",Rajasthan Royals,
848,2015,Dinesh Karthik,Wicket Keeper,"10,50,00,000", Royal Challengers Bangalore,
849,2015,Darren Sammy,All-Rounder,"2,80,00,000", Royal Challengers Bangalore,
850,2015,David Wiese,All-Rounder,"2,80,00,000", Royal Challengers Bangalore,
851,2015,Sean Abbott,Bowler,"1,00,00,000", Royal Challengers Bangalore,
852,2015,Adam Milne,Bowler,"70,00,000", Royal Challengers Bangalore,
853,2015,Sarfaraz Naushad Khan,Batsman,"50,00,000", Royal Challengers Bangalore,
854,2015,Subramaniam Badrinath,Batsman,"30,00,000", Royal Challengers Bangalore,
855,2015,Jalaj Saxena,All-Rounder,"10,00,000", Royal Challengers Bangalore,
856,2015,Shishir Bhavane,Batsman,"10,00,000", Royal Challengers Bangalore,
857,2015,Trent Boult,Bowler,"3,80,00,000", Sunrisers Hyderabad,
